Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency
2587,Customer Service Representatives,Review insurance policy terms to determine whether a particular loss is covered by insurance.,9215f6fc-81e2-40e1-96db-3ac70cab4091,2025/2/25,Average,1,1,1,1,1,False,False,False,False,False,False,5,5,2,5,5,True,True,True,True,True,True,True,FALSE,
2591,Customer Service Representatives,"Recommend improvements in products, packaging, shipping, service, or billing methods and procedures to prevent future problems.",9215f6fc-81e2-40e1-96db-3ac70cab4091,2025/2/25,Average,1,5,5,5,2,False,False,False,False,False,False,5,5,5,5,5,True,True,True,True,True,True,True,FALSE,
55,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",a17b322e-3134-475c-a652-89f27b3a9946,2025/1/21,Expert,2,1,4,1,3,False,False,False,False,False,False,2,2,2,5,3,False,False,True,False,True,False,True,FALSE,
2578,Customer Service Representatives,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Average,4,1,1,1,2,False,True,False,True,False,False,1,3,2,2,1,False,False,False,False,False,False,False,,FALSE
2580,Customer Service Representatives,Check to ensure that appropriate changes were made to resolve customers' problems.,533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Expert,2,2,2,4,2,False,False,False,False,False,False,3,2,2,2,3,False,True,True,False,True,False,False,FALSE,
2581,Customer Service Representatives,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Expert,4,1,3,2,1,False,False,True,True,True,False,3,2,3,2,3,False,True,True,True,True,False,False,,
2583,Customer Service Representatives,"Determine charges for services requested, collect deposits or payments, or arrange for billing.",533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Average,4,1,1,4,1,False,True,True,True,False,False,3,1,2,2,1,False,False,False,False,False,False,False,,FALSE
2584,Customer Service Representatives,"Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.",533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Average,4,2,3,2,2,False,True,True,False,False,False,2,3,2,2,2,False,False,False,False,False,False,False,,FALSE
2582,Customer Service Representatives,Refer unresolved customer grievances to designated departments for further investigation.,533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Expert,5,1,1,1,1,False,True,False,False,False,False,1,2,1,1,2,False,False,False,False,False,False,False,,FALSE
2579,Customer Service Representatives,"Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Expert,2,1,1,2,2,False,False,False,False,False,False,2,2,2,2,2,False,False,False,False,False,False,False,FALSE,FALSE
1411,Mechanical Engineers,"Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.",9f48da63-2e55-413d-a8b4-ec18e410eb36,2025/1/21,Novice,5,1,1,1,1,False,False,True,False,False,False,5,2,5,5,1,False,False,False,False,False,False,False,,FALSE
20736,Mechanical Engineers,"Specify system components or direct modification of products to ensure conformance with engineering design, performance specifications, or environmental regulations.",9f48da63-2e55-413d-a8b4-ec18e410eb36,2025/1/21,Novice,3,2,3,3,3,False,False,True,False,False,False,3,2,4,4,3,False,True,True,False,False,False,False,,
20737,Mechanical Engineers,"Assist drafters in developing the structural design of products, using drafting tools or computer-assisted drafting equipment or software.",9f48da63-2e55-413d-a8b4-ec18e410eb36,2025/1/21,Novice,3,2,3,3,2,False,False,False,False,True,False,5,1,2,4,1,False,False,False,False,False,False,False,,FALSE
1777,Editors,"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,4,3,4,2,1,False,False,True,True,False,False,1,1,1,1,2,False,False,False,False,False,False,False,,FALSE
1780,Editors,"Verify facts, dates, and statistics, using standard reference sources.",32176135-796f-4d69-811a-b26a9dfc0c3c,2025/1/21,Expert,4,2,5,1,1,False,True,False,True,False,False,1,1,3,1,2,False,False,False,False,False,False,False,,FALSE
