Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Automation Capacity Rating,Physical Action Requirement,Involved Uncertainty,Domain Expertise Requirement,Interpersonal Communication Requirement,Human Agency Scale Rating
3226,Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",RedTiger,2025/3/16,4,1,1,2,1,2
21567,Appraisers and Assessors of Real Estate,Verify legal descriptions of properties by comparing them to county records.,YellowZebra,2025/3/16,3,1,2,4,1,2
3970,Technical Writers,"Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.",BrownFox,2025/3/18,4,3,3,3,3,3
22655,Writers and Authors,Vary language and tone of messages based on product and medium.,BrownFox,2025/3/19,4,1,1,2,1,2
22654,Writers and Authors,Present drafts and ideas to clients.,BrownFox,2025/3/19,3,3,1,3,5,3
22660,Writers and Authors,"Review advertising trends, consumer surveys, and other data regarding marketing of goods and services to determine the best way to promote products.",BrownFox,2025/3/19,5,1,1,2,1,2
22657,Writers and Authors,"Write articles, bulletins, sales letters, speeches, and other related informative, marketing and promotional material.",BrownFox,2025/3/19,4,1,1,2,1,2
22658,Writers and Authors,Conduct research and interviews to determine which of a product's selling features should be promoted.,BrownFox,2025/3/19,4,1,3,3,1,2
8961,Statisticians,"Design research projects that apply valid scientific techniques, and use information obtained from baselines or historical data to structure uncompromised and efficient analyses.",OrangeWolf,2025/3/24,1,1,3,3,4,4
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,OrangeWolf,2025/3/24,3,1,1,1,1,2
20558,Photographers,"Transfer photographs to computers for editing, archiving, and electronic transmission.",BrownFox,2025/3/24,5,1,1,1,1,1
9352,Photographers,"Manipulate and enhance scanned or digital images to create desired effects, using computers and specialized software.",BrownFox,2025/3/24,5,1,1,1,1,1
9357,Photographers,"Enhance, retouch, and resize photographs and negatives, using airbrushing and other techniques.",BrownFox,2025/3/24,5,1,1,1,2,2
9351,Photographers,"Estimate or measure light levels, distances, and numbers of exposures needed, using measuring devices and formulas.",BrownFox,2025/3/24,5,1,1,1,1,1
9354,Photographers,"Perform general office duties, such as scheduling appointments, keeping books, and ordering supplies.",BrownFox,2025/3/24,5,1,1,1,1,1
16786,Bioinformatics Scientists,Develop new software applications or customize existing applications to meet specific scientific project needs.,BlackCat,2025/3/24,4,2,2,5,2,2
16790,Bioinformatics Scientists,Create novel computational approaches and analytical tools as required by research goals.,BlackCat,2025/3/24,4,2,3,5,2,2
16795,Bioinformatics Scientists,"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",BlackCat,2025/3/24,4,3,3,5,2,2
16791,Bioinformatics Scientists,"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",BlackCat,2025/3/24,4,2,3,5,2,2
16793,Bioinformatics Scientists,"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",BlackCat,2025/3/24,4,2,3,5,2,2
16788,Bioinformatics Scientists,Create or modify web-based bioinformatics tools.,BlackCat,2025/3/24,4,2,3,5,2,2
16783,Bioinformatics Scientists,Instruct others in the selection and use of bioinformatics tools.,BlackCat,2025/3/24,3,3,4,5,4,4
16807,Molecular and Cellular Biologists,Maintain accurate laboratory records and data.,BlackCat,2025/3/24,3,3,4,5,2,3
23905,Molecular and Cellular Biologists,"Prepare or review reports, manuscripts, or meeting presentations.",BlackCat,2025/3/24,3,3,4,5,2,3
16808,Molecular and Cellular Biologists,Instruct undergraduate and graduate students within the areas of cellular or molecular biology.,BlackCat,2025/3/24,2,4,3,5,5,5
16814,Molecular and Cellular Biologists,Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.,BlackCat,2025/3/24,3,2,3,5,2,3
2817,Desktop Publishers,"View monitors for visual representation of work in progress and for instructions and feedback throughout process, making modifications as necessary.",BrownKangaroo,2025/4/6,2,3,3,3,4,4
16265,Biostatisticians,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",PurpleBear,2025/3/24,4,1,4,4,2,3
16246,Biostatisticians,Calculate sample size requirements for clinical studies.,PurpleBear,2025/3/24,4,1,3,4,1,1
16252,Biostatisticians,Prepare tables and graphs to present clinical data or results.,PurpleBear,2025/3/24,4,1,3,4,2,4
16249,Biostatisticians,Write program code to analyze data with statistical analysis software.,PurpleBear,2025/3/24,4,1,3,4,2,4
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",PurpleBear,2025/3/24,3,1,3,3,4,4
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,PurpleBear,2025/3/24,2,1,3,3,4,4
16146,Business Intelligence Analysts,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",PurpleBear,2025/3/24,2,1,2,3,3,4
16136,Business Intelligence Analysts,"Identify or monitor current and potential customers, using business intelligence tools.",PurpleBear,2025/3/24,3,1,3,3,2,3
16143,Business Intelligence Analysts,"Disseminate information regarding tools, reports, or metadata enhancements.",PurpleBear,2025/3/24,3,1,3,3,4,3
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",PurpleBear,2025/3/24,3,2,4,3,2,2
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",PurpleBear,2025/3/24,3,1,4,4,2,4
16279,Clinical Data Managers,Monitor work productivity or quality to ensure compliance with standard operating procedures.,PurpleBear,2025/3/24,2,2,3,2,4,2
16277,Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.",PurpleBear,2025/3/24,3,1,4,4,2,4
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,PurpleBear,2025/3/24,3,1,4,4,2,4
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,PurpleBear,2025/3/24,2,1,3,3,4,4
16274,Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",PurpleBear,2025/3/24,2,2,3,3,2,2
20483,"Architects, Except Landscape and Naval",Develop final construction plans that include aesthetic representations of the structure or details for its construction.,PurpleBear,2025/3/24,2,1,5,5,4,5
20479,"Architects, Except Landscape and Naval","Prepare scale drawings or architectural designs, using computer-aided design or other tools.",PurpleBear,2025/3/24,4,1,3,4,2,3
130,"Architects, Except Landscape and Naval","Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.",PurpleBear,2025/3/24,2,1,4,4,3,5
136,"Architects, Except Landscape and Naval",Integrate engineering elements into unified architectural designs.,PurpleBear,2025/3/24,2,1,4,4,2,2
20486,"Architects, Except Landscape and Naval",Plan layouts of structural architectural projects.,PurpleBear,2025/3/24,2,1,4,4,3,3
134,"Architects, Except Landscape and Naval",Prepare contract documents for building contractors.,PurpleBear,2025/3/24,2,1,3,3,4,4
19596,"Architects, Except Landscape and Naval","Plan or design structures such as residences, office buildings, theatres, factories, or other structural properties in accordance with environmental, safety, or other regulations.",PurpleBear,2025/3/24,2,1,5,4,3,4
20488,"Architects, Except Landscape and Naval","Create three-dimensional or interactive representations of designs, using computer-assisted design software.",PurpleBear,2025/3/24,4,1,2,3,2,2
19594,"Architects, Except Landscape and Naval",Gather information related to projects' environmental sustainability or operational efficiency.,PurpleBear,2025/3/24,1,3,3,3,3,4
5503,Geographers,"Create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography, such as coordinate systems, longitude, latitude, elevation, topography, and map scales.",BlackCat,2025/3/25,4,2,4,4,2,2
5511,Geographers,"Study the economic, political, and cultural characteristics of a specific region's population.",BlackCat,2025/3/25,4,2,3,4,2,2
5506,Geographers,Locate and obtain existing geographic information databases.,BlackCat,2025/3/25,3,3,4,4,2,3
5505,Geographers,"Develop, operate, and maintain geographical information computer systems, including hardware, software, plotters, digitizers, printers, and video cameras.",BlackCat,2025/3/25,3,3,4,4,2,3
16952,Transportation Planners,"Recommend transportation system improvements or projects, based on economic, population, land-use, or traffic projections.",BlackCat,2025/3/25,2,4,4,4,5,4
20976,Transportation Planners,"Interpret data from traffic modeling software, geographic information systems, or associated databases.",BlackCat,2025/3/25,2,4,4,5,4,4
16943,Transportation Planners,Prepare reports or recommendations on transportation planning.,BlackCat,2025/3/25,2,3,4,4,4,4
18295,Precision Agriculture Technicians,Document and maintain records of precision agriculture information.,BlackCat,2025/3/25,3,3,4,4,2,3
9350,Photographers,Review sets of photographs to select the best work.,BrownFox,2025/3/25,2,4,4,4,3,4
20560,Photographers,Write photograph captions.,BrownFox,2025/3/25,5,1,1,1,1,1
18282,Precision Agriculture Technicians,"Identify spatial coordinates, using remote sensing and Global Positioning System (GPS) data.",BlackCat,2025/3/25,4,2,3,4,2,2
18289,Precision Agriculture Technicians,"Create, layer, and analyze maps showing precision agricultural data, such as crop yields, soil characteristics, input applications, terrain, drainage patterns, or field management history.",BlackCat,2025/3/25,4,2,3,4,2,2
20875,Precision Agriculture Technicians,"Analyze geospatial data to determine agricultural implications of factors such as soil quality, terrain, field productivity, fertilizers, or weather conditions.",BlackCat,2025/3/25,3,3,3,4,2,3
18278,Precision Agriculture Technicians,"Program farm equipment, such as variable-rate planting equipment or pesticide sprayers, based on input from crop scouting and analysis of field condition variability.",BlackCat,2025/3/25,3,3,4,4,2,3
18296,Precision Agriculture Technicians,"Draw or read maps, such as soil, contour, or plat maps.",BlackCat,2025/3/25,4,2,4,4,2,2
18293,Precision Agriculture Technicians,"Analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history.",BlackCat,2025/3/25,4,2,3,4,2,2
12963,Social Science Research Assistants,Design and create special programs for tasks such as statistical analysis and data entry and cleaning.,BlackCat,2025/3/25,4,2,2,5,2,2
12955,Social Science Research Assistants,"Perform descriptive and multivariate statistical analyses of data, using computer software.",BlackCat,2025/3/25,4,2,2,5,2,2
12956,Social Science Research Assistants,"Verify the accuracy and validity of data entered in databases, correcting any errors.",BlackCat,2025/3/25,4,2,2,4,2,2
12960,Social Science Research Assistants,Conduct internet-based and library research.,BlackCat,2025/3/25,5,2,2,3,2,1
12968,Social Science Research Assistants,Recruit and schedule research participants.,BlackCat,2025/3/25,1,5,2,3,5,5
16974,Quality Control Analysts,"Interpret test results, compare them to established specifications and control limits, and make recommendations on appropriateness of data for release.",BlackCat,2025/3/25,4,2,3,4,2,2
16977,Quality Control Analysts,"Complete documentation needed to support testing procedures, including data capture forms, equipment logbooks, or inventory forms.",BlackCat,2025/3/25,3,2,4,4,2,3
16979,Quality Control Analysts,Compile laboratory test data and perform appropriate analyses.,BlackCat,2025/3/25,3,4,2,3,4,3
16964,Quality Control Analysts,"Write technical reports or documentation, such as deviation reports, testing protocols, and trend analyses.",BlackCat,2025/3/25,2,5,3,4,5,4
16973,Quality Control Analysts,Investigate or report questionable test results.,BlackCat,2025/3/25,2,5,3,4,5,4
16966,Quality Control Analysts,Supply quality control data necessary for regulatory submissions.,BlackCat,2025/3/25,3,3,3,4,2,3
16976,Quality Control Analysts,Evaluate analytical methods and procedures to determine how they might be improved.,BlackCat,2025/3/25,4,2,3,4,2,2
16968,Quality Control Analysts,Review data from contract laboratories to ensure accuracy and regulatory compliance.,BlackCat,2025/3/25,3,2,4,4,2,3
19051,Judicial Law Clerks,"Research laws, court decisions, documents, opinions, briefs, or other information related to cases before the court.",BlackCat,2025/3/25,4,2,4,3,4,2
19047,Judicial Law Clerks,"Draft or proofread judicial opinions, decisions, or citations.",BlackCat,2025/3/25,5,1,1,2,2,1
19052,Judicial Law Clerks,"Review complaints, petitions, motions, or pleadings that have been filed to determine issues involved or basis for relief.",BlackCat,2025/3/25,4,2,3,3,4,2
19053,Judicial Law Clerks,Review dockets of pending litigation to ensure adequate progress.,BlackCat,2025/3/25,5,1,1,2,3,1
19057,Judicial Law Clerks,"Enter information into computerized court calendar, filing, or case management systems.",BlackCat,2025/3/25,4,2,2,2,2,2
19056,Judicial Law Clerks,Coordinate judges' meeting and appointment schedules.,BlackCat,2025/3/25,4,4,2,2,3,2
5663,"Business Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.",BlackCat,2025/3/25,4,2,3,4,2,2
5666,"Business Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",BlackCat,2025/3/25,4,2,3,2,2,2
5664,"Business Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",BlackCat,2025/3/25,3,2,1,5,3,3
5669,"Business Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,BlackCat,2025/3/25,2,4,1,5,4,4
