O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,08/2018,3.0,3.0,4.07,87.26,149270.0,21100.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3']
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Core,08/2018,3.0,3.0,3.87,80.19,149270.0,21100.0,"['Communicating with Supervisors, Peers, or Subordinates']",['4.A.4.a.2']
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,08/2018,3.0,3.0,3.67,81.73,149270.0,21100.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Core,08/2018,5.0,5.0,3.61,79.02,149270.0,21100.0,['Selling or Influencing Others'],['4.A.4.a.6']
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,08/2018,3.0,3.0,3.59,77.04,149270.0,21100.0,['Analyzing Data or Information'],['4.A.2.a.4']
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,08/2018,3.0,3.0,3.25,86.55,149270.0,21100.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,07/2015,5.0,5.0,4.3,98.32,171520.0,384980.0,"['Judging the Qualities of Objects, Services, or People', 'Thinking Creatively']","['4.A.2.a.1', '4.A.2.b.2']"
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,Core,07/2015,3.0,3.0,3.7,84.1,171520.0,384980.0,['Processing Information'],['4.A.2.a.2']
11-3012.00,Administrative Services Managers,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,07/2017,5.0,5.0,3.71,77.98,126030.0,254140.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-3012.00,Administrative Services Managers,20,Set goals and deadlines for the department.,Core,07/2017,5.0,5.0,3.7,92.79,126030.0,254140.0,['Thinking Creatively'],['4.A.2.b.2']
11-3012.00,Administrative Services Managers,24,"Plan, administer, and control budgets for contracts, equipment, and supplies.",Supplemental,07/2017,5.0,5.0,4.06,66.15,126030.0,254140.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3021.00,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,Core,07/2016,3.0,3.0,4.08,99.97,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3021.00,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,07/2016,5.0,5.0,4.04,92.97,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3021.00,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,07/2016,3.0,3.0,3.94,81.61,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2']
11-3021.00,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,Core,07/2016,4.0,4.0,3.88,100.0,187990.0,645970.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3']
11-3021.00,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,Core,07/2016,3.0,3.0,3.68,87.19,187990.0,645970.0,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.1', '4.A.2.a.1']"
11-3021.00,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,Core,07/2016,5.0,5.0,3.63,95.71,187990.0,645970.0,['Documenting/Recording Information'],['4.A.3.b.6']
11-3021.00,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,07/2016,3.0,3.0,3.59,70.83,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
11-3021.00,Computer and Information Systems Managers,974,Control operational budget and expenditures.,Core,07/2016,3.0,3.0,3.53,84.33,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
11-3021.00,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",Supplemental,07/2016,5.0,5.0,4.19,65.58,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2']
11-3031.00,Financial Managers,21319,Oversee the flow of cash or financial instruments.,Core,08/2022,5.0,5.0,4.2,72.26,180470.0,818620.0,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
11-3031.00,Financial Managers,21315,Evaluate data pertaining to costs to plan budgets.,Core,08/2022,3.0,3.0,3.61,70.1,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.00,Financial Managers,21321,Develop or analyze information to assess the current or future financial status of firms.,Supplemental,08/2022,5.0,5.0,4.14,43.38,180470.0,818620.0,['Analyzing Data or Information'],['4.A.2.a.4']
11-3031.00,Financial Managers,21318,"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",Supplemental,08/2022,5.0,5.0,4.09,47.62,180470.0,818620.0,"['Making Decisions and Solving Problems', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.1', '4.A.4.b.4']"
11-3031.00,Financial Managers,21320,"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",Supplemental,08/2022,3.0,3.0,4.04,51.99,180470.0,818620.0,['Documenting/Recording Information'],['4.A.3.b.6']
